"scenario","rate","lag"
"pmax",365000,485.076712328767
"pmax",359212,484.794520547945
"pmax",353424,484.504109589041
"pmax",347636,484.202739726027
"pmax",341849,483.890410958904
"pmax",336061,483.567123287671
"pmax",330273,483.227397260274
"pmax",324485,482.879452054795
"pmax",318697,482.515068493151
"pmax",312909,482.139726027397
"pmax",307121,481.747945205479
"pmax",301334,481.345205479452
"pmax",295546,480.920547945205
"pmax",289758,480.484931506849
"pmax",283970,480.030136986301
"pmax",278182,479.558904109589
"pmax",272394,479.068493150685
"pmax",266606,478.561643835616
"pmax",260819,478.032876712329
"pmax",255031,477.482191780822
"pmax",249243,476.909589041096
"pmax",243455,476.315068493151
"pmax",237667,475.695890410959
"pmax",231879,475.052054794521
"pmax",226091,474.378082191781
"pmax",220304,473.682191780822
"pmax",214516,472.950684931507
"pmax",208728,472.194520547945
"pmax",202940,471.402739726027
"pmax",197152,470.578082191781
"pmax",191364,469.715068493151
"pmax",185576,468.816438356164
"pmax",179789,467.876712328767
"pmax",174001,466.895890410959
"pmax",168213,465.868493150685
"pmax",162425,464.791780821918
"pmax",156637,463.668493150685
"pmax",150849,462.487671232877
"pmax",145061,461.249315068493
"pmax",139274,459.950684931507
"pmax",133486,458.586301369863
"pmax",127698,457.147945205479
"pmax",121910,455.638356164384
"pmax",116122,454.046575342466
"pmax",110334,452.367123287671
"pmax",104546,450.591780821918
"pmax",98759,448.712328767123
"pmax",92971,446.72602739726
"pmax",87183,444.616438356164
"pmax",81395,442.378082191781
"pmax",75607,439.991780821918
"pmax",69819,437.446575342466
"pmax",64031,434.72602739726
"pmax",58244,431.816438356164
"pmax",52456,428.684931506849
"pmax",46668,425.315068493151
"pmax",40880,421.676712328767
"pmax",35092,417.731506849315
"pmax",29304,413.438356164384
"pmax",23516,408.745205479452
"pmax",17729,403.591780821918
"pmax",11941,397.890410958904
"pmax",6153,391.512328767123
"pmax",365,383.520547945205
"temp",365000,299.906849315068
"temp",359212,299.841095890411
"temp",353424,299.783561643836
"temp",347636,299.731506849315
"temp",341849,299.684931506849
"temp",336061,299.643835616438
"temp",330273,299.61095890411
"temp",324485,299.580821917808
"temp",318697,299.558904109589
"temp",312909,299.539726027397
"temp",307121,299.531506849315
"temp",301334,299.523287671233
"temp",295546,299.52602739726
"temp",289758,299.531506849315
"temp",283970,299.545205479452
"temp",278182,299.564383561644
"temp",272394,299.591780821918
"temp",266606,299.624657534247
"temp",260819,299.660273972603
"temp",255031,299.704109589041
"temp",249243,299.758904109589
"temp",243455,299.816438356164
"temp",237667,299.882191780822
"temp",231879,299.953424657534
"temp",226091,300.035616438356
"temp",220304,300.123287671233
"temp",214516,300.219178082192
"temp",208728,300.323287671233
"temp",202940,300.432876712329
"temp",197152,300.556164383562
"temp",191364,300.684931506849
"temp",185576,300.821917808219
"temp",179789,300.969863013699
"temp",174001,301.128767123288
"temp",168213,301.295890410959
"temp",162425,301.47397260274
"temp",156637,301.66301369863
"temp",150849,301.86301369863
"temp",145061,302.076712328767
"temp",139274,302.301369863014
"temp",133486,302.539726027397
"temp",127698,302.791780821918
"temp",121910,303.057534246575
"temp",116122,303.33698630137
"temp",110334,303.632876712329
"temp",104546,303.950684931507
"temp",98759,304.282191780822
"temp",92971,304.635616438356
"temp",87183,305.008219178082
"temp",81395,305.405479452055
"temp",75607,305.830136986301
"temp",69819,306.279452054795
"temp",64031,306.758904109589
"temp",58244,307.27397260274
"temp",52456,307.830136986301
"temp",46668,308.430136986301
"temp",40880,309.087671232877
"temp",35092,309.808219178082
"temp",29304,310.616438356164
"temp",23516,311.534246575342
"temp",17729,312.586301369863
"temp",11941,313.684931506849
"temp",6153,314.813698630137
"temp",365,316.221917808219
"ma",365000,371.575342465753
"ma",359212,371.575342465753
"ma",353424,371.578082191781
"ma",347636,371.575342465753
"ma",341849,371.578082191781
"ma",336061,371.575342465753
"ma",330273,371.575342465753
"ma",324485,371.578082191781
"ma",318697,371.578082191781
"ma",312909,371.578082191781
"ma",307121,371.575342465753
"ma",301334,371.578082191781
"ma",295546,371.578082191781
"ma",289758,371.575342465753
"ma",283970,371.575342465753
"ma",278182,371.575342465753
"ma",272394,371.575342465753
"ma",266606,371.575342465753
"ma",260819,371.578082191781
"ma",255031,371.578082191781
"ma",249243,371.575342465753
"ma",243455,371.578082191781
"ma",237667,371.575342465753
"ma",231879,371.575342465753
"ma",226091,371.575342465753
"ma",220304,371.575342465753
"ma",214516,371.578082191781
"ma",208728,371.575342465753
"ma",202940,371.578082191781
"ma",197152,371.575342465753
"ma",191364,371.575342465753
"ma",185576,371.575342465753
"ma",179789,371.575342465753
"ma",174001,371.575342465753
"ma",168213,371.575342465753
"ma",162425,371.575342465753
"ma",156637,371.575342465753
"ma",150849,371.578082191781
"ma",145061,371.575342465753
"ma",139274,371.575342465753
"ma",133486,371.575342465753
"ma",127698,371.578082191781
"ma",121910,371.575342465753
"ma",116122,371.575342465753
"ma",110334,371.575342465753
"ma",104546,371.575342465753
"ma",98759,371.575342465753
"ma",92971,371.578082191781
"ma",87183,371.575342465753
"ma",81395,371.575342465753
"ma",75607,371.575342465753
"ma",69819,371.575342465753
"ma",64031,371.578082191781
"ma",58244,371.575342465753
"ma",52456,371.575342465753
"ma",46668,371.575342465753
"ma",40880,371.578082191781
"ma",35092,371.578082191781
"ma",29304,371.575342465753
"ma",23516,371.578082191781
"ma",17729,371.575342465753
"ma",11941,371.575342465753
"ma",6153,371.575342465753
"ma",365,371.575342465753
